;v0.3.11e1_exEcai-3ag_ECAI_Ligne_3All
Standard deviation of max size of solve for covered manif. (min) ;8.013876853447538;
Standard deviation of max size of solve for covered manif. (max) ;8.013876853447538;
Standard deviation of min size of solve for covered manif. (avg) ;7.2571803523590805;
Standard deviation of min size of solve for covered manif. (stddev) ;0.0;
Standard deviation of min size of solve for covered manif. (min) ;7.2571803523590805;
Standard deviation of min size of solve for covered manif. (max) ;7.2571803523590805;
Product of nb of solve for addtotheory (avg) ;0.0;
Product of nb of solve for addtotheory (stddev) ;0.0;
Product of nb of solve for addtotheory (min) ;0;
Product of nb of solve for addtotheory (max) ;0;
Product of total size of solve for addtotheory (avg) ;0.0;
Product of total size of solve for addtotheory (stddev) ;0.0;
Product of total size of solve for addtotheory (min) ;0;
Product of total size of solve for addtotheory (max) ;0;
Product of max size of solve for addtotheory (avg) ;-4.0;
Product of max size of solve for addtotheory (stddev) ;0.0;
Product of max size of solve for addtotheory (min) ;-4;
Product of max size of solve for addtotheory (max) ;0;
Product of min size of solve for addtotheory (avg) ;-4.0;
Product of min size of solve for addtotheory (stddev) ;0.0;
Product of min size of solve for addtotheory (min) ;-4;
Product of min size of solve for addtotheory (max) ;0;
Max of nb of solve for addtotheory (avg) ;1.0;
Max of nb of solve for addtotheory (stddev) ;0.0;
Max of nb of solve for addtotheory (min) ;1;
Max of nb of solve for addtotheory (max) ;1;
Max of total size of solve for addtotheory (avg) ;2.0;
Max of total size of solve for addtotheory (stddev) ;0.0;
Max of total size of solve for addtotheory (min) ;2;
Max of total size of solve for addtotheory (max) ;2;
Max of max size of solve for addtotheory (avg) ;2.0;
Max of max size of solve for addtotheory (stddev) ;0.0;
Max of max size of solve for addtotheory (min) ;2;
Max of max size of solve for addtotheory (max) ;2;
Max of min size of solve for addtotheory (avg) ;2.0;
Max of min size of solve for addtotheory (stddev) ;0.0;
Max of min size of solve for addtotheory (min) ;2;
Max of min size of solve for addtotheory (max) ;2;
Min of nb of solve for addtotheory (avg) ;0.0;
Min of nb of solve for addtotheory (stddev) ;0.0;
Min of nb of solve for addtotheory (min) ;0;
Min of nb of solve for addtotheory (max) ;0;
Min of total size of solve for addtotheory (avg) ;0.0;
Min of total size of solve for addtotheory (stddev) ;0.0;
Min of total size of solve for addtotheory (min) ;0;
Min of total size of solve for addtotheory (max) ;0;
Min of max size of solve for addtotheory (avg) ;-1.0;
Min of max size of solve for addtotheory (stddev) ;0.0;
Min of max size of solve for addtotheory (min) ;-1;
Min of max size of solve for addtotheory (max) ;0;
Min of min size of solve for addtotheory (avg) ;-1.0;
Min of min size of solve for addtotheory (stddev) ;0.0;
Min of min size of solve for addtotheory (min) ;-1;
Min of min size of solve for addtotheory (max) ;0;
Sum of nb of solve for addtotheory (avg) ;2.0;
Sum of nb of solve for addtotheory (stddev) ;0.0;
Sum of nb of solve for addtotheory (min) ;2;
Sum of nb of solve for addtotheory (max) ;2;
Sum of total size of solve for addtotheory (avg) ;4.0;
Sum of total size of solve for addtotheory (stddev) ;0.0;
Sum of total size of solve for addtotheory (min) ;4;
Sum of total size of solve for addtotheory (max) ;4;
Sum of max size of solve for addtotheory (avg) ;3.0;
Sum of max size of solve for addtotheory (stddev) ;0.0;
Sum of max size of solve for addtotheory (min) ;3;
Sum of max size of solve for addtotheory (max) ;3;
Sum of min size of solve for addtotheory (avg) ;3.0;
Sum of min size of solve for addtotheory (stddev) ;0.0;
Sum of min size of solve for addtotheory (min) ;3;
Sum of min size of solve for addtotheory (max) ;3;
Average of nb of solve for addtotheory (avg) ;0.6666666666666666;
Average of nb of solve for addtotheory (stddev) ;0.0;
Average of nb of solve for addtotheory (min) ;0.6666666666666666;
Average of nb of solve for addtotheory (max) ;0.6666666666666666;
Average of total size of solve for addtotheory (avg) ;1.3333333333333333;
Average of total size of solve for addtotheory (stddev) ;0.0;
Average of total size of solve for addtotheory (min) ;1.3333333333333333;
Average of total size of solve for addtotheory (max) ;1.3333333333333333;
Average of max size of solve for addtotheory (avg) ;1.0;
Average of max size of solve for addtotheory (stddev) ;0.0;
Average of max size of solve for addtotheory (min) ;1.0;
Average of max size of solve for addtotheory (max) ;1.0;
Average of min size of solve for addtotheory (avg) ;1.0;
Average of min size of solve for addtotheory (stddev) ;0.0;
Average of min size of solve for addtotheory (min) ;1.0;
Average of min size of solve for addtotheory (max) ;1.0;
Standard deviation of nb of solve for addtotheory (avg) ;0.4714045207910317;
Standard deviation of nb of solve for addtotheory (stddev) ;0.0;
Standard deviation of nb of solve for addtotheory (min) ;0.4714045207910317;
Standard deviation of nb of solve for addtotheory (max) ;0.4714045207910317;
Standard deviation of total size of solve for addtotheory (avg) ;0.9428090415820634;
Standard deviation of total size of solve for addtotheory (stddev) ;0.0;
Standard deviation of total size of solve for addtotheory (min) ;0.9428090415820634;
Standard deviation of total size of solve for addtotheory (max) ;0.9428090415820634;
Standard deviation of max size of solve for addtotheory (avg) ;1.4142135623730951;
Standard deviation of max size of solve for addtotheory (stddev) ;0.0;
Standard deviation of max size of solve for addtotheory (min) ;1.4142135623730951;
Standard deviation of max size of solve for addtotheory (max) ;1.4142135623730951;
Standard deviation of min size of solve for addtotheory (avg) ;1.4142135623730951;
Standard deviation of min size of solve for addtotheory (stddev) ;0.0;
Standard deviation of min size of solve for addtotheory (min) ;1.4142135623730951;
Standard deviation of min size of solve for addtotheory (max) ;1.4142135623730951;
Product of nb of solve for hyp (nc) (avg) ;0.0;
Product of nb of solve for hyp (nc) (stddev) ;0.0;
Product of nb of solve for hyp (nc) (min) ;0;
Product of nb of solve for hyp (nc) (max) ;0;
Product of total size of solve for hyp (nc) (avg) ;0.0;
Product of total size of solve for hyp (nc) (stddev) ;0.0;
Product of total size of solve for hyp (nc) (min) ;0;
Product of total size of solve for hyp (nc) (max) ;0;
Product of max size of solve for hyp (nc) (avg) ;-80.0;
Product of max size of solve for hyp (nc) (stddev) ;0.0;
Product of max size of solve for hyp (nc) (min) ;-80;
Product of max size of solve for hyp (nc) (max) ;0;
Product of min size of solve for hyp (nc) (avg) ;-80.0;
Product of min size of solve for hyp (nc) (stddev) ;0.0;
Product of min size of solve for hyp (nc) (min) ;-80;
Product of min size of solve for hyp (nc) (max) ;0;
Max of nb of solve for hyp (nc) (avg) ;1.0;
Max of nb of solve for hyp (nc) (stddev) ;0.0;
Max of nb of solve for hyp (nc) (min) ;1;
Max of nb of solve for hyp (nc) (max) ;1;
Max of total size of solve for hyp (nc) (avg) ;10.0;
Max of total size of solve for hyp (nc) (stddev) ;0.0;
Max of total size of solve for hyp (nc) (min) ;10;
Max of total size of solve for hyp (nc) (max) ;10;
Max of max size of solve for hyp (nc) (avg) ;10.0;
Max of max size of solve for hyp (nc) (stddev) ;0.0;
Max of max size of solve for hyp (nc) (min) ;10;
Max of max size of solve for hyp (nc) (max) ;10;
Max of min size of solve for hyp (nc) (avg) ;10.0;
Max of min size of solve for hyp (nc) (stddev) ;0.0;
Max of min size of solve for hyp (nc) (min) ;10;
Max of min size of solve for hyp (nc) (max) ;10;
Min of nb of solve for hyp (nc) (avg) ;0.0;
Min of nb of solve for hyp (nc) (stddev) ;0.0;
Min of nb of solve for hyp (nc) (min) ;0;
Min of nb of solve for hyp (nc) (max) ;0;
Min of total size of solve for hyp (nc) (avg) ;0.0;
Min of total size of solve for hyp (nc) (stddev) ;0.0;
Min of total size of solve for hyp (nc) (min) ;0;
Min of total size of solve for hyp (nc) (max) ;0;
Min of max size of solve for hyp (nc) (avg) ;-1.0;
Min of max size of solve for hyp (nc) (stddev) ;0.0;
Min of max size of solve for hyp (nc) (min) ;-1;
Min of max size of solve for hyp (nc) (max) ;0;
Min of min size of solve for hyp (nc) (avg) ;-1.0;
Min of min size of solve for hyp (nc) (stddev) ;0.0;
Min of min size of solve for hyp (nc) (min) ;-1;
Min of min size of solve for hyp (nc) (max) ;0;
Sum of nb of solve for hyp (nc) (avg) ;2.0;
Sum of nb of solve for hyp (nc) (stddev) ;0.0;
Sum of nb of solve for hyp (nc) (min) ;2;
Sum of nb of solve for hyp (nc) (max) ;2;
Sum of total size of solve for hyp (nc) (avg) ;18.0;
Sum of total size of solve for hyp (nc) (stddev) ;0.0;
Sum of total size of solve for hyp (nc) (min) ;18;
Sum of total size of solve for hyp (nc) (max) ;18;
Sum of max size of solve for hyp (nc) (avg) ;17.0;
Sum of max size of solve for hyp (nc) (stddev) ;0.0;
Sum of max size of solve for hyp (nc) (min) ;17;
Sum of max size of solve for hyp (nc) (max) ;17;
Sum of min size of solve for hyp (nc) (avg) ;17.0;
Sum of min size of solve for hyp (nc) (stddev) ;0.0;
Sum of min size of solve for hyp (nc) (min) ;17;
Sum of min size of solve for hyp (nc) (max) ;17;
Average of nb of solve for hyp (nc) (avg) ;0.6666666666666666;
Average of nb of solve for hyp (nc) (stddev) ;0.0;
Average of nb of solve for hyp (nc) (min) ;0.6666666666666666;
Average of nb of solve for hyp (nc) (max) ;0.6666666666666666;
Average of total size of solve for hyp (nc) (avg) ;6.0;
Average of total size of solve for hyp (nc) (stddev) ;0.0;
Average of total size of solve for hyp (nc) (min) ;6.0;
Average of total size of solve for hyp (nc) (max) ;6.0;
Average of max size of solve for hyp (nc) (avg) ;5.666666666666667;
Average of max size of solve for hyp (nc) (stddev) ;0.0;
Average of max size of solve for hyp (nc) (min) ;5.666666666666667;
Average of max size of solve for hyp (nc) (max) ;5.666666666666667;
Average of min size of solve for hyp (nc) (avg) ;5.666666666666667;
Average of min size of solve for hyp (nc) (stddev) ;0.0;
Average of min size of solve for hyp (nc) (min) ;5.666666666666667;
Average of min size of solve for hyp (nc) (max) ;5.666666666666667;
Standard deviation of nb of solve for hyp (nc) (avg) ;0.4714045207910317;
Standard deviation of nb of solve for hyp (nc) (stddev) ;0.0;
Standard deviation of nb of solve for hyp (nc) (min) ;0.4714045207910317;
Standard deviation of nb of solve for hyp (nc) (max) ;0.4714045207910317;
Standard deviation of total size of solve for hyp (nc) (avg) ;4.320493798938574;
Standard deviation of total size of solve for hyp (nc) (stddev) ;0.0;
Standard deviation of total size of solve for hyp (nc) (min) ;4.320493798938574;
Standard deviation of total size of solve for hyp (nc) (max) ;4.320493798938574;
Standard deviation of max size of solve for hyp (nc) (avg) ;4.784233364802441;
Standard deviation of max size of solve for hyp (nc) (stddev) ;0.0;
Standard deviation of max size of solve for hyp (nc) (min) ;4.784233364802441;
