;v0.3.1395e2_exEcai-3ag_ECAI_Clique_3All
Standard deviation of min size of solve for covered manif. (avg) ;0.0;
Standard deviation of min size of solve for covered manif. (stddev) ;0.0;
Standard deviation of min size of solve for covered manif. (min) ;0.0;
Standard deviation of min size of solve for covered manif. (max) ;0;
Product of nb of solve for prove manif (avg) ;6.0;
Product of nb of solve for prove manif (stddev) ;0.0;
Product of nb of solve for prove manif (min) ;6;
Product of nb of solve for prove manif (max) ;6;
Product of total size of solve for prove manif (avg) ;62525.0;
Product of total size of solve for prove manif (stddev) ;0.0;
Product of total size of solve for prove manif (min) ;62525;
Product of total size of solve for prove manif (max) ;62525;
Product of max size of solve for prove manif (avg) ;15625.0;
Product of max size of solve for prove manif (stddev) ;0.0;
Product of max size of solve for prove manif (min) ;15625;
Product of max size of solve for prove manif (max) ;15625;
Product of min size of solve for prove manif (avg) ;6400.0;
Product of min size of solve for prove manif (stddev) ;0.0;
Product of min size of solve for prove manif (min) ;6400;
Product of min size of solve for prove manif (max) ;6400;
Max of nb of solve for prove manif (avg) ;3.0;
Max of nb of solve for prove manif (stddev) ;0.0;
Max of nb of solve for prove manif (min) ;3;
Max of nb of solve for prove manif (max) ;3;
Max of total size of solve for prove manif (avg) ;61.0;
Max of total size of solve for prove manif (stddev) ;0.0;
Max of total size of solve for prove manif (min) ;61;
Max of total size of solve for prove manif (max) ;61;
Max of max size of solve for prove manif (avg) ;25.0;
Max of max size of solve for prove manif (stddev) ;0.0;
Max of max size of solve for prove manif (min) ;25;
Max of max size of solve for prove manif (max) ;25;
Max of min size of solve for prove manif (avg) ;25.0;
Max of min size of solve for prove manif (stddev) ;0.0;
Max of min size of solve for prove manif (min) ;25;
Max of min size of solve for prove manif (max) ;25;
Min of nb of solve for prove manif (avg) ;1.0;
Min of nb of solve for prove manif (stddev) ;0.0;
Min of nb of solve for prove manif (min) ;1;
Min of nb of solve for prove manif (max) ;1;
Min of total size of solve for prove manif (avg) ;25.0;
Min of total size of solve for prove manif (stddev) ;0.0;
Min of total size of solve for prove manif (min) ;25;
Min of total size of solve for prove manif (max) ;25;
Min of max size of solve for prove manif (avg) ;25.0;
Min of max size of solve for prove manif (stddev) ;0.0;
Min of max size of solve for prove manif (min) ;25;
Min of max size of solve for prove manif (max) ;25;
Min of min size of solve for prove manif (avg) ;16.0;
Min of min size of solve for prove manif (stddev) ;0.0;
Min of min size of solve for prove manif (min) ;16;
Min of min size of solve for prove manif (max) ;16;
Sum of nb of solve for prove manif (avg) ;6.0;
Sum of nb of solve for prove manif (stddev) ;0.0;
Sum of nb of solve for prove manif (min) ;6;
Sum of nb of solve for prove manif (max) ;6;
Sum of total size of solve for prove manif (avg) ;127.0;
Sum of total size of solve for prove manif (stddev) ;0.0;
Sum of total size of solve for prove manif (min) ;127;
Sum of total size of solve for prove manif (max) ;127;
Sum of max size of solve for prove manif (avg) ;75.0;
Sum of max size of solve for prove manif (stddev) ;0.0;
Sum of max size of solve for prove manif (min) ;75;
Sum of max size of solve for prove manif (max) ;75;
Sum of min size of solve for prove manif (avg) ;57.0;
Sum of min size of solve for prove manif (stddev) ;0.0;
Sum of min size of solve for prove manif (min) ;57;
Sum of min size of solve for prove manif (max) ;57;
Average of nb of solve for prove manif (avg) ;2.0;
Average of nb of solve for prove manif (stddev) ;0.0;
Average of nb of solve for prove manif (min) ;2.0;
Average of nb of solve for prove manif (max) ;2.0;
Average of total size of solve for prove manif (avg) ;42.333333333333336;
Average of total size of solve for prove manif (stddev) ;0.0;
Average of total size of solve for prove manif (min) ;42.333333333333336;
Average of total size of solve for prove manif (max) ;42.333333333333336;
Average of max size of solve for prove manif (avg) ;25.0;
Average of max size of solve for prove manif (stddev) ;0.0;
Average of max size of solve for prove manif (min) ;25.0;
Average of max size of solve for prove manif (max) ;25.0;
Average of min size of solve for prove manif (avg) ;19.0;
Average of min size of solve for prove manif (stddev) ;0.0;
Average of min size of solve for prove manif (min) ;19.0;
Average of min size of solve for prove manif (max) ;19.0;
Standard deviation of nb of solve for prove manif (avg) ;0.816496580927726;
Standard deviation of nb of solve for prove manif (stddev) ;0.0;
Standard deviation of nb of solve for prove manif (min) ;0.816496580927726;
Standard deviation of nb of solve for prove manif (max) ;0.816496580927726;
Standard deviation of total size of solve for prove manif (avg) ;14.727148022916348;
Standard deviation of total size of solve for prove manif (stddev) ;0.0;
Standard deviation of total size of solve for prove manif (min) ;14.727148022916348;
Standard deviation of total size of solve for prove manif (max) ;14.727148022916348;
Standard deviation of max size of solve for prove manif (avg) ;0.0;
Standard deviation of max size of solve for prove manif (stddev) ;0.0;
Standard deviation of max size of solve for prove manif (min) ;0.0;
Standard deviation of max size of solve for prove manif (max) ;0;
Standard deviation of min size of solve for prove manif (avg) ;4.242640687119285;
Standard deviation of min size of solve for prove manif (stddev) ;0.0;
Standard deviation of min size of solve for prove manif (min) ;4.242640687119285;
Standard deviation of min size of solve for prove manif (max) ;4.242640687119285;
Product of nb of solve for addtotheory (avg) ;12.0;
Product of nb of solve for addtotheory (stddev) ;0.0;
Product of nb of solve for addtotheory (min) ;12;
Product of nb of solve for addtotheory (max) ;12;
Product of total size of solve for addtotheory (avg) ;325.0;
Product of total size of solve for addtotheory (stddev) ;0.0;
Product of total size of solve for addtotheory (min) ;325;
Product of total size of solve for addtotheory (max) ;325;
Product of max size of solve for addtotheory (avg) ;72.0;
Product of max size of solve for addtotheory (stddev) ;0.0;
Product of max size of solve for addtotheory (min) ;72;
Product of max size of solve for addtotheory (max) ;72;
Product of min size of solve for addtotheory (avg) ;8.0;
Product of min size of solve for addtotheory (stddev) ;0.0;
Product of min size of solve for addtotheory (min) ;8;
Product of min size of solve for addtotheory (max) ;8;
Max of nb of solve for addtotheory (avg) ;3.0;
Max of nb of solve for addtotheory (stddev) ;0.0;
Max of nb of solve for addtotheory (min) ;3;
Max of nb of solve for addtotheory (max) ;3;
Max of total size of solve for addtotheory (avg) ;13.0;
Max of total size of solve for addtotheory (stddev) ;0.0;
Max of total size of solve for addtotheory (min) ;13;
Max of total size of solve for addtotheory (max) ;13;
Max of max size of solve for addtotheory (avg) ;8.0;
Max of max size of solve for addtotheory (stddev) ;0.0;
Max of max size of solve for addtotheory (min) ;8;
Max of max size of solve for addtotheory (max) ;8;
Max of min size of solve for addtotheory (avg) ;2.0;
Max of min size of solve for addtotheory (stddev) ;0.0;
Max of min size of solve for addtotheory (min) ;2;
Max of min size of solve for addtotheory (max) ;2;
Min of nb of solve for addtotheory (avg) ;2.0;
Min of nb of solve for addtotheory (stddev) ;0.0;
Min of nb of solve for addtotheory (min) ;2;
Min of nb of solve for addtotheory (max) ;2;
Min of total size of solve for addtotheory (avg) ;5.0;
Min of total size of solve for addtotheory (stddev) ;0.0;
Min of total size of solve for addtotheory (min) ;5;
Min of total size of solve for addtotheory (max) ;5;
Min of max size of solve for addtotheory (avg) ;3.0;
Min of max size of solve for addtotheory (stddev) ;0.0;
Min of max size of solve for addtotheory (min) ;3;
Min of max size of solve for addtotheory (max) ;3;
Min of min size of solve for addtotheory (avg) ;2.0;
Min of min size of solve for addtotheory (stddev) ;0.0;
Min of min size of solve for addtotheory (min) ;2;
Min of min size of solve for addtotheory (max) ;2;
Sum of nb of solve for addtotheory (avg) ;7.0;
Sum of nb of solve for addtotheory (stddev) ;0.0;
Sum of nb of solve for addtotheory (min) ;7;
Sum of nb of solve for addtotheory (max) ;7;
Sum of total size of solve for addtotheory (avg) ;23.0;
Sum of total size of solve for addtotheory (stddev) ;0.0;
Sum of total size of solve for addtotheory (min) ;23;
Sum of total size of solve for addtotheory (max) ;23;
Sum of max size of solve for addtotheory (avg) ;14.0;
Sum of max size of solve for addtotheory (stddev) ;0.0;
Sum of max size of solve for addtotheory (min) ;14;
Sum of max size of solve for addtotheory (max) ;14;
Sum of min size of solve for addtotheory (avg) ;6.0;
Sum of min size of solve for addtotheory (stddev) ;0.0;
Sum of min size of solve for addtotheory (min) ;6;
Sum of min size of solve for addtotheory (max) ;6;
Average of nb of solve for addtotheory (avg) ;2.3333333333333335;
Average of nb of solve for addtotheory (stddev) ;0.0;
Average of nb of solve for addtotheory (min) ;2.3333333333333335;
Average of nb of solve for addtotheory (max) ;2.3333333333333335;
Average of total size of solve for addtotheory (avg) ;7.666666666666667;
Average of total size of solve for addtotheory (stddev) ;0.0;
Average of total size of solve for addtotheory (min) ;7.666666666666667;
Average of total size of solve for addtotheory (max) ;7.666666666666667;
Average of max size of solve for addtotheory (avg) ;4.666666666666667;
Average of max size of solve for addtotheory (stddev) ;0.0;
Average of max size of solve for addtotheory (min) ;4.666666666666667;
Average of max size of solve for addtotheory (max) ;4.666666666666667;
Average of min size of solve for addtotheory (avg) ;2.0;
Average of min size of solve for addtotheory (stddev) ;0.0;
Average of min size of solve for addtotheory (min) ;2.0;
Average of min size of solve for addtotheory (max) ;2.0;
Standard deviation of nb of solve for addtotheory (avg) ;0.4714045207910317;
Standard deviation of nb of solve for addtotheory (stddev) ;0.0;
Standard deviation of nb of solve for addtotheory (min) ;0.4714045207910317;
Standard deviation of nb of solve for addtotheory (max) ;0.4714045207910317;
Standard deviation of total size of solve for addtotheory (avg) ;3.7712361663282534;
Standard deviation of total size of solve for addtotheory (stddev) ;0.0;
Standard deviation of total size of solve for addtotheory (min) ;3.7712361663282534;
Standard deviation of total size of solve for addtotheory (max) ;3.7712361663282534;
Standard deviation of max size of solve for addtotheory (avg) ;2.357022603955158;
Standard deviation of max size of solve for addtotheory (stddev) ;0.0;
