;v0.3.136e1_DAREschedule_ECAI-CL_DARE_8All
Average of max size of solve for extended hyp (nc) (min) ;3.625;
Average of max size of solve for extended hyp (nc) (max) ;3.625;
Average of min size of solve for extended hyp (nc) (avg) ;3.0;
Average of min size of solve for extended hyp (nc) (stddev) ;0.0;
Average of min size of solve for extended hyp (nc) (min) ;3.0;
Average of min size of solve for extended hyp (nc) (max) ;3.0;
Standard deviation of nb of solve for extended hyp (nc) (avg) ;4.663689526544408;
Standard deviation of nb of solve for extended hyp (nc) (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (nc) (min) ;4.663689526544408;
Standard deviation of nb of solve for extended hyp (nc) (max) ;4.663689526544408;
Standard deviation of total size of solve for extended hyp (nc) (avg) ;39.821476617523864;
Standard deviation of total size of solve for extended hyp (nc) (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (nc) (min) ;39.821476617523864;
Standard deviation of total size of solve for extended hyp (nc) (max) ;39.821476617523864;
Standard deviation of max size of solve for extended hyp (nc) (avg) ;1.653594569415369;
Standard deviation of max size of solve for extended hyp (nc) (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (nc) (min) ;1.653594569415369;
Standard deviation of max size of solve for extended hyp (nc) (max) ;1.653594569415369;
Standard deviation of min size of solve for extended hyp (nc) (avg) ;0.0;
Standard deviation of min size of solve for extended hyp (nc) (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (nc) (min) ;0.0;
Standard deviation of min size of solve for extended hyp (nc) (max) ;0;
Product of nb of solve for own context (nc) (avg) ;0.0;
Product of nb of solve for own context (nc) (stddev) ;0.0;
Product of nb of solve for own context (nc) (min) ;0;
Product of nb of solve for own context (nc) (max) ;0;
Product of total size of solve for own context (nc) (avg) ;0.0;
Product of total size of solve for own context (nc) (stddev) ;0.0;
Product of total size of solve for own context (nc) (min) ;0;
Product of total size of solve for own context (nc) (max) ;0;
Product of max size of solve for own context (nc) (avg) ;-3.0;
Product of max size of solve for own context (nc) (stddev) ;0.0;
Product of max size of solve for own context (nc) (min) ;-3;
Product of max size of solve for own context (nc) (max) ;0;
Product of min size of solve for own context (nc) (avg) ;-3.0;
Product of min size of solve for own context (nc) (stddev) ;0.0;
Product of min size of solve for own context (nc) (min) ;-3;
Product of min size of solve for own context (nc) (max) ;0;
Max of nb of solve for own context (nc) (avg) ;60.0;
Max of nb of solve for own context (nc) (stddev) ;0.0;
Max of nb of solve for own context (nc) (min) ;60;
Max of nb of solve for own context (nc) (max) ;60;
Max of total size of solve for own context (nc) (avg) ;180.0;
Max of total size of solve for own context (nc) (stddev) ;0.0;
Max of total size of solve for own context (nc) (min) ;180;
Max of total size of solve for own context (nc) (max) ;180;
Max of max size of solve for own context (nc) (avg) ;3.0;
Max of max size of solve for own context (nc) (stddev) ;0.0;
Max of max size of solve for own context (nc) (min) ;3;
Max of max size of solve for own context (nc) (max) ;3;
Max of min size of solve for own context (nc) (avg) ;3.0;
Max of min size of solve for own context (nc) (stddev) ;0.0;
Max of min size of solve for own context (nc) (min) ;3;
Max of min size of solve for own context (nc) (max) ;3;
Min of nb of solve for own context (nc) (avg) ;0.0;
Min of nb of solve for own context (nc) (stddev) ;0.0;
Min of nb of solve for own context (nc) (min) ;0;
Min of nb of solve for own context (nc) (max) ;0;
Min of total size of solve for own context (nc) (avg) ;0.0;
Min of total size of solve for own context (nc) (stddev) ;0.0;
Min of total size of solve for own context (nc) (min) ;0;
Min of total size of solve for own context (nc) (max) ;0;
Min of max size of solve for own context (nc) (avg) ;-1.0;
Min of max size of solve for own context (nc) (stddev) ;0.0;
Min of max size of solve for own context (nc) (min) ;-1;
Min of max size of solve for own context (nc) (max) ;0;
Min of min size of solve for own context (nc) (avg) ;-1.0;
Min of min size of solve for own context (nc) (stddev) ;0.0;
Min of min size of solve for own context (nc) (min) ;-1;
Min of min size of solve for own context (nc) (max) ;0;
Sum of nb of solve for own context (nc) (avg) ;60.0;
Sum of nb of solve for own context (nc) (stddev) ;0.0;
Sum of nb of solve for own context (nc) (min) ;60;
Sum of nb of solve for own context (nc) (max) ;60;
Sum of total size of solve for own context (nc) (avg) ;180.0;
Sum of total size of solve for own context (nc) (stddev) ;0.0;
Sum of total size of solve for own context (nc) (min) ;180;
Sum of total size of solve for own context (nc) (max) ;180;
Sum of max size of solve for own context (nc) (avg) ;-4.0;
Sum of max size of solve for own context (nc) (stddev) ;0.0;
Sum of max size of solve for own context (nc) (min) ;-4;
Sum of max size of solve for own context (nc) (max) ;0;
Sum of min size of solve for own context (nc) (avg) ;-4.0;
Sum of min size of solve for own context (nc) (stddev) ;0.0;
Sum of min size of solve for own context (nc) (min) ;-4;
Sum of min size of solve for own context (nc) (max) ;0;
Average of nb of solve for own context (nc) (avg) ;7.5;
Average of nb of solve for own context (nc) (stddev) ;0.0;
Average of nb of solve for own context (nc) (min) ;7.5;
Average of nb of solve for own context (nc) (max) ;7.5;
Average of total size of solve for own context (nc) (avg) ;22.5;
Average of total size of solve for own context (nc) (stddev) ;0.0;
Average of total size of solve for own context (nc) (min) ;22.5;
Average of total size of solve for own context (nc) (max) ;22.5;
Average of max size of solve for own context (nc) (avg) ;-0.5;
Average of max size of solve for own context (nc) (stddev) ;0.0;
Average of max size of solve for own context (nc) (min) ;-0.5;
Average of max size of solve for own context (nc) (max) ;0;
Average of min size of solve for own context (nc) (avg) ;-0.5;
Average of min size of solve for own context (nc) (stddev) ;0.0;
Average of min size of solve for own context (nc) (min) ;-0.5;
Average of min size of solve for own context (nc) (max) ;0;
Standard deviation of nb of solve for own context (nc) (avg) ;19.84313483298443;
Standard deviation of nb of solve for own context (nc) (stddev) ;0.0;
Standard deviation of nb of solve for own context (nc) (min) ;19.84313483298443;
Standard deviation of nb of solve for own context (nc) (max) ;19.84313483298443;
Standard deviation of total size of solve for own context (nc) (avg) ;59.52940449895329;
Standard deviation of total size of solve for own context (nc) (stddev) ;0.0;
Standard deviation of total size of solve for own context (nc) (min) ;59.52940449895329;
Standard deviation of total size of solve for own context (nc) (max) ;59.52940449895329;
Standard deviation of max size of solve for own context (nc) (avg) ;1.3228756555322954;
Standard deviation of max size of solve for own context (nc) (stddev) ;0.0;
Standard deviation of max size of solve for own context (nc) (min) ;1.3228756555322954;
Standard deviation of max size of solve for own context (nc) (max) ;1.3228756555322954;
Standard deviation of min size of solve for own context (nc) (avg) ;1.3228756555322954;
Standard deviation of min size of solve for own context (nc) (stddev) ;0.0;
Standard deviation of min size of solve for own context (nc) (min) ;1.3228756555322954;
Standard deviation of min size of solve for own context (nc) (max) ;1.3228756555322954;
Product of nb of  sent messages (avg) ;7.92733995625E11;
Product of nb of  sent messages (stddev) ;0.0;
Product of nb of  sent messages (min) ;792733995625;
Product of nb of  sent messages (max) ;792733995625;
Product of total size of  sent messages (avg) ;1.01329095967485901E18;
Product of total size of  sent messages (stddev) ;0.0;
Product of total size of  sent messages (min) ;1013290959674859008;
Product of total size of  sent messages (max) ;1013290959674859008;
Product of max size of  sent messages (avg) ;9.221560478784E15;
Product of max size of  sent messages (stddev) ;0.0;
Product of max size of  sent messages (min) ;9221560478784000;
Product of max size of  sent messages (max) ;9221560478784000;
Product of min size of  sent messages (avg) ;0.0;
Product of min size of  sent messages (stddev) ;0.0;
Product of min size of  sent messages (min) ;0;
Product of min size of  sent messages (max) ;0;
Max of nb of  sent messages (avg) ;121.0;
Max of nb of  sent messages (stddev) ;0.0;
Max of nb of  sent messages (min) ;121;
Max of nb of  sent messages (max) ;121;
Max of total size of  sent messages (avg) ;9705.0;
Max of total size of  sent messages (stddev) ;0.0;
Max of total size of  sent messages (min) ;9705;
Max of total size of  sent messages (max) ;9705;
Max of max size of  sent messages (avg) ;155.0;
Max of max size of  sent messages (stddev) ;0.0;
Max of max size of  sent messages (min) ;155;
Max of max size of  sent messages (max) ;155;
Max of min size of  sent messages (avg) ;0.0;
Max of min size of  sent messages (stddev) ;0.0;
Max of min size of  sent messages (min) ;0;
Max of min size of  sent messages (max) ;0;
Min of nb of  sent messages (avg) ;13.0;
Min of nb of  sent messages (stddev) ;0.0;
Min of nb of  sent messages (min) ;13;
Min of nb of  sent messages (max) ;13;
Min of total size of  sent messages (avg) ;202.0;
Min of total size of  sent messages (stddev) ;0.0;
Min of total size of  sent messages (min) ;202;
Min of total size of  sent messages (max) ;202;
Min of max size of  sent messages (avg) ;31.0;
Min of max size of  sent messages (stddev) ;0.0;
Min of max size of  sent messages (min) ;31;
Min of max size of  sent messages (max) ;31;
Min of min size of  sent messages (avg) ;0.0;
Min of min size of  sent messages (stddev) ;0.0;
Min of min size of  sent messages (min) ;0;
Min of min size of  sent messages (max) ;0;
Sum of nb of  sent messages (avg) ;308.0;
Sum of nb of  sent messages (stddev) ;0.0;
Sum of nb of  sent messages (min) ;308;
Sum of nb of  sent messages (max) ;308;
Sum of total size of  sent messages (avg) ;17161.0;
Sum of total size of  sent messages (stddev) ;0.0;
Sum of total size of  sent messages (min) ;17161;
Sum of total size of  sent messages (max) ;17161;
Sum of max size of  sent messages (avg) ;937.0;
Sum of max size of  sent messages (stddev) ;0.0;
Sum of max size of  sent messages (min) ;937;
Sum of max size of  sent messages (max) ;937;
Sum of min size of  sent messages (avg) ;0.0;
Sum of min size of  sent messages (stddev) ;0.0;
Sum of min size of  sent messages (min) ;0;
Sum of min size of  sent messages (max) ;0;
Average of nb of  sent messages (avg) ;38.5;
Average of nb of  sent messages (stddev) ;0.0;
Average of nb of  sent messages (min) ;38.5;
Average of nb of  sent messages (max) ;38.5;
Average of total size of  sent messages (avg) ;2145.125;
Average of total size of  sent messages (stddev) ;0.0;
Average of total size of  sent messages (min) ;2145.125;
Average of total size of  sent messages (max) ;2145.125;
Average of max size of  sent messages (avg) ;117.125;
Average of max size of  sent messages (stddev) ;0.0;
Average of max size of  sent messages (min) ;117.125;
Average of max size of  sent messages (max) ;117.125;
Average of min size of  sent messages (avg) ;0.0;
Average of min size of  sent messages (stddev) ;0.0;
Average of min size of  sent messages (min) ;0.0;
Average of min size of  sent messages (max) ;0;
Standard deviation of nb of  sent messages (avg) ;32.13642792844283;
Standard deviation of nb of  sent messages (stddev) ;0.0;
Standard deviation of nb of  sent messages (min) ;32.13642792844283;
Standard deviation of nb of  sent messages (max) ;32.13642792844283;
Standard deviation of total size of  sent messages (avg) ;2896.590687234736;
Standard deviation of total size of  sent messages (stddev) ;0.0;
Standard deviation of total size of  sent messages (min) ;2896.590687234736;
Standard deviation of total size of  sent messages (max) ;2896.590687234736;
Standard deviation of max size of  sent messages (avg) ;49.85839322521335;
Standard deviation of max size of  sent messages (stddev) ;0.0;
Standard deviation of max size of  sent messages (min) ;49.85839322521335;
Standard deviation of max size of  sent messages (max) ;49.85839322521335;
Standard deviation of min size of  sent messages (avg) ;0.0;
Standard deviation of min size of  sent messages (stddev) ;0.0;
